marital-status,Precision,Recall,TNR,NPV,F-Score
Divorced,0.30097087378640774,0.9393939393939394,0.9188275084554679,0.9975520195838433,0.45588235294117646
Married-AF-spouse,0.0,,0.25,1.0,
Married-civ-spouse,0.6861702127659575,0.7639593908629442,0.7664027149321267,0.8292533659730722,0.722978382706165
Married-spouse-absent,0.125,1.0,0.9263157894736842,1.0,0.2222222222222222
Never-married,0.24271844660194175,0.9615384615384616,0.9628571428571429,0.9995056846267919,0.3875968992248062
Separated,0.42105263157894735,1.0,0.945273631840796,1.0,0.5925925925925926
Widowed,0.10526315789473684,1.0,0.9174757281553398,1.0,0.1904761904761905
