workclass,Precision,Recall,TNR,NPV,F-Score
?,0.40476190476190477,0.7727272727272727,0.9318801089918256,0.9855907780979827,0.5312499999999999
Federal-gov,0.7428571428571429,0.7536231884057971,0.8524590163934426,0.859504132231405,0.748201438848921
Local-gov,0.7,0.7777777777777778,0.8854166666666666,0.9205776173285198,0.7368421052631577
Private,0.5984015984015985,0.7871222076215506,0.8946816871888918,0.9547106513838413,0.6799091940976163
Self-emp-inc,0.8220338983050848,0.776,0.7586206896551724,0.7021276595744681,0.7983539094650206
Self-emp-not-inc,0.5031847133757962,0.7247706422018348,0.7994858611825193,0.9120234604105572,0.5939849624060151
State-gov,0.6712328767123288,0.7313432835820896,0.8716577540106952,0.9005524861878453,0.7
Without-pay,,,,1.0,
