relationship,Precision,Recall,TNR,NPV,F-Score
Husband,0.6914529914529914,0.7660984848484849,0.7646675358539765,0.826056338028169,0.7268643306379154
Not-in-family,0.2765957446808511,0.9454545454545454,0.9174256223436551,0.9980184940554822,0.42798353909465026
Other-relative,0.375,1.0,0.9714285714285714,1.0,0.5454545454545454
Own-child,0.11764705882352941,1.0,0.9852507374631269,1.0,0.21052631578947367
Unmarried,0.24444444444444444,1.0,0.9507959479015919,1.0,0.39285714285714285
Wife,0.6503496503496503,0.744,0.7461928934010152,0.8212290502793296,0.6940298507462687
