race,Precision,Recall,TNR,NPV,F-Score
Amer-Indian-Eskimo,0.5,0.8333333333333334,0.9230769230769231,0.9836065573770492,0.625
Asian-Pac-Islander,0.7096774193548387,0.7586206896551724,0.8666666666666667,0.8931297709923665,0.7333333333333333
Black,0.5538461538461539,0.72,0.9471766848816029,0.9737827715355806,0.6260869565217391
Other,0.6666666666666666,0.6666666666666666,0.9591836734693877,0.9591836734693877,0.6666666666666666
White,0.6169467787114846,0.7782685512367491,0.8774367017701098,0.9397648188144948,0.68828125
